species,subset_size,hour,expected_abundance
Black Woodpecker,52,12,5.703367838708757e-07
Black Woodpecker,52,13,0.0
Black Woodpecker,52,14,5.407209612817089e-05
Black Woodpecker,52,15,6.515506906437321e-08
Black Woodpecker,52,16,0.002921288669229361
Black Woodpecker,52,17,1.9884692316743147e-05
Black Woodpecker,52,18,0.0012139162112932604
Black Woodpecker,52,19,0.0001829407916257769
Black Woodpecker,52,20,0.00014020943378741544
Black Woodpecker,52,21,2.2956841138659317e-06
Black Woodpecker,52,22,0.0
Black Woodpecker,52,23,0.0
Black Woodpecker,54,0,6.351323457025357e-06
Black Woodpecker,54,1,0.0
Black Woodpecker,54,2,3.852824891210235e-05
Black Woodpecker,54,3,0.0035038840107196228
Black Woodpecker,54,4,1.6850281169524163e-05
Black Woodpecker,54,5,1.4523816455872838e-07
Black Woodpecker,54,6,1.7868880677567405e-07
Black Woodpecker,54,7,0.0002239239841128191
Black Woodpecker,54,8,4.730603634169554e-08
Black Woodpecker,54,9,0.0
Black Woodpecker,54,10,7.202939337787338e-06
Black Woodpecker,54,11,0.0
Black Woodpecker,54,12,3.9936887166683536e-07
Black Woodpecker,54,13,0.0
Black Woodpecker,54,14,4.980520876785363e-05
Black Woodpecker,54,15,0.0
Black Woodpecker,54,16,0.002909322938020038
Black Woodpecker,54,17,1.9655922488340918e-05
Black Woodpecker,54,18,0.001212061579725118
Black Woodpecker,54,19,0.00017187606860121185
Black Woodpecker,54,20,0.00013246932556427158
Black Woodpecker,54,21,0.0
Black Woodpecker,54,22,0.0
Black Woodpecker,54,23,0.0
Black Woodpecker,56,0,7.936507936507938e-06
Black Woodpecker,56,1,8.503401360544217e-07
Black Woodpecker,56,2,4.761904761904762e-05
Black Woodpecker,56,3,0.0034745679012345683
Black Woodpecker,56,4,1.806025874793783e-05
Black Woodpecker,56,5,2.233688489803212e-07
Black Woodpecker,56,6,2.232865548001027e-07
Black Woodpecker,56,7,0.0002227881772005037
Black Woodpecker,56,8,4.7290267662914975e-08
Black Woodpecker,56,9,0.0
Black Woodpecker,56,10,6.976222521310004e-06
Black Woodpecker,56,11,0.0
Black Woodpecker,56,12,4.562694270967006e-07
Black Woodpecker,56,13,0.0
Black Woodpecker,56,14,5.151312861593236e-05
Black Woodpecker,56,15,0.0
Black Woodpecker,56,16,0.0028744889865153457
Black Woodpecker,56,17,1.8884574655841864e-05
Black Woodpecker,56,18,0.001202695810564663
Black Woodpecker,56,19,0.00017124631992149168
Black Woodpecker,56,20,0.00013242516912241682
Black Woodpecker,56,21,9.182736455463727e-07
Black Woodpecker,56,22,0.0
Black Woodpecker,56,23,0.0
Black Woodpecker,58,0,6.349206349206349e-06
Black Woodpecker,58,1,8.503401360544217e-07
Black Woodpecker,58,2,4.201680672268908e-05
Black Woodpecker,58,3,0.003434567901234568
Black Woodpecker,58,4,1.5108101067986454e-05
Black Woodpecker,58,5,1.89863521633273e-07
Black Woodpecker,58,6,2.0095789932009242e-07
Black Woodpecker,58,7,0.00022498125274134445
Black Woodpecker,58,8,6.305369021721996e-08
Black Woodpecker,58,9,0.0
Black Woodpecker,58,10,6.4602960969044415e-06
Black Woodpecker,58,11,0.0
Black Woodpecker,58,12,3.707189095160692e-07
Black Woodpecker,58,13,0.0
Black Woodpecker,58,14,5.145749888740543e-05
Black Woodpecker,58,15,0.0
Black Woodpecker,58,16,0.0028849838306180976
Black Woodpecker,58,17,1.870808330391811e-05
Black Woodpecker,58,18,0.0012037887067395264
Black Woodpecker,58,19,0.00016903827281648673
Black Woodpecker,58,20,0.00013001575386896487
Black Woodpecker,58,21,1.3774104683195593e-06
Black Woodpecker,58,22,0.0
Black Woodpecker,58,23,0.0
Black Woodpecker,60,0,2.380952380952381e-06
Black Woodpecker,60,1,0.0
Black Woodpecker,60,2,4.0616246498599444e-05
Black Woodpecker,60,3,0.0032612345679012347
Black Woodpecker,60,4,1.832074324911001e-05
Black Woodpecker,60,5,1.0051598204114455e-07
Black Woodpecker,60,6,1.228076051400565e-07
Black Woodpecker,60,7,0.000214482787894223
Black Woodpecker,60,8,0.0
Black Woodpecker,60,9,0.0
Black Woodpecker,60,10,6.751906684611934e-06
Black Woodpecker,60,11,0.0
Black Woodpecker,60,12,2.851683919354379e-07
Black Woodpecker,60,13,0.0
Black Woodpecker,60,14,4.75634178905207e-05
Black Woodpecker,60,15,0.0
Black Woodpecker,60,16,0.0027913844651900666
Black Woodpecker,60,17,1.717849158724556e-05
Black Woodpecker,60,18,0.0011689617486338798
Black Woodpecker,60,19,0.0001579162577690546
Black Woodpecker,60,20,0.0001221388193865258
Black Woodpecker,60,21,0.0
Black Woodpecker,60,22,0.0
Black Woodpecker,60,23,0.0
Black Woodpecker,62,0,2.380952380952381e-06
Black Woodpecker,62,1,8.503401360544217e-07
Black Woodpecker,62,2,3.291316526610644e-05
Black Woodpecker,62,3,0.0031876543209876547
Black Woodpecker,62,4,1.4239819397412522e-05
Black Woodpecker,62,5,1.1168442449016061e-07
Black Woodpecker,62,6,1.3397193288006164e-07
Black Woodpecker,62,7,0.0002150628917469615
Black Woodpecker,62,8,4.7290267662914975e-08
Black Woodpecker,62,9,0.0
Black Woodpecker,62,10,5.944369672498878e-06
Black Woodpecker,62,11,0.0
Black Woodpecker,62,12,1.7110103516126272e-07
Black Woodpecker,62,13,0.0
Black Woodpecker,62,14,4.561637739207833e-05
Black Woodpecker,62,15,0.0
Black Woodpecker,62,16,0.002796997986454329
Black Woodpecker,62,17,1.5766560771855513e-05
Black Woodpecker,62,18,0.0011718032786885246
Black Woodpecker,62,19,0.00014736669937847564
Black Woodpecker,62,20,0.00011370586599944397
Black Woodpecker,62,21,9.182736455463727e-07
Black Woodpecker,62,22,0.0
Black Woodpecker,62,23,0.0
Black Woodpecker,64,0,5.555555555555556e-06
Black Woodpecker,64,1,0.0
Black Woodpecker,64,2,3.081232492997199e-05
Black Woodpecker,64,3,0.003124938271604938
Black Woodpecker,64,4,1.1374489884518537e-05
Black Woodpecker,64,5,1.3402130938819273e-07
Black Woodpecker,64,6,1.6746491610007703e-07
Black Woodpecker,64,7,0.000214482787894223
Black Woodpecker,64,8,1.576342255430499e-08
Black Woodpecker,64,9,0.0
Black Woodpecker,64,10,5.09196949304621e-06
Black Woodpecker,64,11,0.0
Black Woodpecker,64,12,3.4220207032252545e-07
Black Woodpecker,64,13,0.0
Black Woodpecker,64,14,4.5393858477970634e-05
Black Woodpecker,64,15,0.0
Black Woodpecker,64,16,0.0027642321069009704
Black Woodpecker,64,17,1.5413578068008e-05
Black Woodpecker,64,18,0.001155992714025501
Black Woodpecker,64,19,0.00014671246319921492
Black Woodpecker,64,20,0.00011036975257158745
Black Woodpecker,64,21,0.0
Black Woodpecker,64,22,0.0
Black Woodpecker,64,23,0.0
Black Woodpecker,66,0,2.380952380952381e-06
Black Woodpecker,66,1,0.0
Black Woodpecker,66,2,3.081232492997199e-05
Black Woodpecker,66,3,0.0030933333333333334
Black Woodpecker,66,4,1.371885039506816e-05
Black Woodpecker,66,5,1.0051598204114455e-07
Black Woodpecker,66,6,1.228076051400565e-07
Black Woodpecker,66,7,0.00021344992005885934
Black Woodpecker,66,8,3.152684510860998e-08
Black Woodpecker,66,9,0.0
Black Woodpecker,66,10,5.6303275011215795e-06
Black Woodpecker,66,11,0.0
Black Woodpecker,66,12,2.566515527418941e-07
Black Woodpecker,66,13,0.0
Black Woodpecker,66,14,4.4726301735647534e-05
Black Woodpecker,66,15,0.0
Black Woodpecker,66,16,0.0027767404966745988
Black Woodpecker,66,17,1.570773032121426e-05
Black Woodpecker,66,18,0.0011672131147540984
Black Woodpecker,66,19,0.0001437684003925417
Black Woodpecker,66,20,0.00010999907330182559
Black Woodpecker,66,21,0.0
Black Woodpecker,66,22,0.0
Black Woodpecker,66,23,0.0
Black Woodpecker,68,0,1.5873015873015873e-06
Black Woodpecker,68,1,0.0
Black Woodpecker,68,2,2.1708683473389358e-05
Black Woodpecker,68,3,0.0029827160493827156
Black Woodpecker,68,4,1.0245723712772423e-05
Black Woodpecker,68,5,4.467376979606424e-08
Black Woodpecker,68,6,5.582163870002568e-08
Black Woodpecker,68,7,0.00020851196287335343
Black Woodpecker,68,8,1.576342255430499e-08
Black Woodpecker,68,9,0.0
Black Woodpecker,68,10,4.62090623598026e-06
Black Woodpecker,68,11,0.0
Black Woodpecker,68,12,1.1406735677417515e-07
Black Woodpecker,68,13,0.0
Black Woodpecker,68,14,4.2501112594570534e-05
Black Woodpecker,68,15,0.0
Black Woodpecker,68,16,0.0027026664226005247
Black Woodpecker,68,17,1.3707494999411695e-05
Black Woodpecker,68,18,0.0011323132969034608
Black Woodpecker,68,19,0.0001362446843310435
Black Woodpecker,68,20,0.00010036141228801778
Black Woodpecker,68,21,0.0
Black Woodpecker,68,22,0.0
Black Woodpecker,68,23,0.0
Black Woodpecker,70,0,3.968253968253969e-06
Black Woodpecker,70,1,8.503401360544217e-07
Black Woodpecker,70,2,2.0308123249299722e-05
Black Woodpecker,70,3,0.002836049382716049
Black Woodpecker,70,4,8.595988538681949e-06
Black Woodpecker,70,5,1.0051598204114455e-07
Black Woodpecker,70,6,7.815029418003596e-08
Black Woodpecker,70,7,0.00020244209573128455
Black Woodpecker,70,8,4.7290267662914975e-08
Black Woodpecker,70,9,0.0
Black Woodpecker,70,10,4.149842978914311e-06
Black Woodpecker,70,11,0.0
Black Woodpecker,70,12,1.4258419596771894e-07
Black Woodpecker,70,13,0.0
Black Woodpecker,70,14,3.8161993769470404e-05
Black Woodpecker,70,15,0.0
Black Woodpecker,70,16,0.0026495820367319544
Black Woodpecker,70,17,1.3119190492999177e-05
Black Woodpecker,70,18,0.0011139526411657558
Black Woodpecker,70,19,0.00012217860647693816
Black Woodpecker,70,20,9.174311926605505e-05
Black Woodpecker,70,21,1.3774104683195593e-06
Black Woodpecker,70,22,0.0
Black Woodpecker,70,23,0.0
